X,Y
62,16
35,44
76,73
56,23
12,68
15,73
79,64
74,33
60,71
57,7
59,79
43,75
46,20
49,56
80,52
74,19
54,47
76,10
72,45
71,60
28,0
33,45
26,34
6,40
37,32
74,77
29,24
30,72
60,68
32,54
71,34
39,42
77,11
61,47
56,60
73,10
72,14
79,77
63,44
76,20
26,55
66,6
28,44
60,0
24,67
15,19
77,73
56,45
64,27
27,79
46,65
27,46
48,79
57,22
23,33
27,8
41,5
7,74
41,76
74,30
63,23
71,57
80,47
1,49
58,67
16,7
30,33
32,5
55,80
68,30
30,0
71,41
29,31
78,41
60,3
42,31
0,75
51,4
22,41
13,53
50,52
57,28
39,37
78,74
45,75
5,65
13,51
65,60
17,36
2,12
37,14
28,70
48,24
50,22
21,15
76,65
6,29
19,62
30,7
57,77
