X,Y
604,195
538,225
902,851
215,416
500,584
557,163
668,0
21,46
849,743
350,614
169,104
772,135
406,984
690,79
597,257
730,891
546,297
464,290
693,246
910,473
195,877
397,804
142,755
876,313
565,849
946,98
630,507
71,313
336,189
197,881
835,392
956,613
977,374
895,371
726,466
40,508
175,66
633,998
475,851
64,130
346,360
743,656
144,920
567,79
972,655
678,595
636,584
569,763
829,670
872,116
30,930
129,469
514,975
779,649
400,745
410,691
56,124
444,369
392,18
622,263
954,702
468,660
278,442
661,44
434,371
757,566
669,628
647,123
154,99
463,318
213,200
213,948
496,667
601,972
85,581
611,774
322,800
490,229
77,681
540,922
792,604
556,888
5,598
814,465
31,676
167,428
39,615
319,139
393,511
143,118
501,226
600,487
848,419
309,51
911,586
791,147
97,233
389,694
230,39
862,42
951,410
278,320
773,431
790,795
408,596
649,592
479,148
192,562
696,502
343,797
481,285
688,493
476,331
494,199
304,403
976,896
443,686
771,520
872,460
904,670
133,862
11,564
630,377
212,981
704,138
388,789
530,746
46,759
249,438
955,799
544,302
881,619
442,623
734,622
621,823
219,602
826,923
773,125
920,50
495,683
166,213
355,479
831,506
900,498
877,511
502,279
507,130
257,564
813,548
901,197
341,479
774,394
939,398
323,760
820,612
93,167
781,761
270,238
512,477
292,819
276,33
717,820
373,650
798,104
614,996
854,151
915,758
89,400
858,581
963,604
631,613
71,951
706,548
8,827
211,347
486,323
33,906
558,989
563,933
938,904
572,439
28,102
994,768
435,263
368,239
45,923
215,441
979,574
765,552
91,397
392,439
758,165
195,230
838,8
853,419
71,381
345,622
766,264
853,251
827,383
982,344
839,899
735,794
107,603
183,957
890,756
815,649
863,992
679,380
744,23
789,595
396,246
786,431
465,36
272,261
26,920
82,607
455,107
385,475
236,360
649,414
418,631
71,715
41,738
392,608
847,305
482,580
797,700
148,23
964,416
329,952
752,584
308,148
655,514
191,125
153,720
42,788
12,346
256,417
280,626
381,698
301,777
870,536
172,762
149,965
418,113
459,53
526,580
640,356
518,2
475,225
603,51
383,144
918,674
558,700
845,373
150,111
642,754
925,998
904,680
905,560
368,699
338,137
822,666
578,30
32,850
123,565
867,275
887,493
963,513
727,758
685,513
607,517
46,944
651,540
648,253
462,319
464,135
999,346
600,356
967,973
775,456
791,568
183,807
227,111
623,154
283,949
295,542
589,54
16,236
149,376
15,571
596,224
739,305
242,927
94,190
903,661
962,880
490,438
64,612
953,422
223,808
576,410
858,775
661,335
959,385
817,761
98,684
686,198
810,480
701,968
492,994
357,45
663,626
739,13
241,152
335,114
468,72
253,650
95,285
257,648
868,62
821,52
797,992
102,639
938,323
37,129
258,822
759,813
327,269
148,174
930,441
50,290
911,676
260,482
950,434
275,282
382,330
685,982
433,856
618,147
501,419
480,648
75,75
471,327
253,96
362,172
619,513
497,52
752,263
371,92
107,339
10,206
725,908
438,791
607,192
937,798
990,477
84,862
638,121
522,422
118,257
588,834
752,634
683,181
509,402
130,977
741,879
753,121
765,373
203,357
665,939
957,607
275,125
677,687
858,613
134,405
717,821
68,821
314,885
869,193
612,255
909,201
297,10
397,939
221,21
134,397
907,56
980,325
550,856
380,140
923,490
934,526
221,245
137,374
715,371
188,547
604,169
376,471
177,394
562,511
455,7
954,937
172,265
765,648
179,342
677,815
977,188
741,768
125,117
163,570
433,956
236,438
878,884
768,796
529,505
801,160
415,611
676,105
522,836
212,476
113,652
817,878
171,223
574,795
361,206
550,592
636,525
274,1
944,791
350,499
511,576
802,684
428,562
620,873
497,269
210,183
685,977
84,598
673,812
114,4
